timestamp,machine_id,temperature_mean,temperature_min,temperature_max,temperature_std,temperature_count,humidity_mean,humidity_min,humidity_max,humidity_std,humidity_count,pressure_mean,pressure_min,pressure_max,pressure_std,pressure_count,vibration_mean,vibration_min,vibration_max,vibration_std,vibration_count,energy_consumption_mean,energy_consumption_min,energy_consumption_max,energy_consumption_std,energy_consumption_count,target_failure_risk_mean,target_failure_risk_min,target_failure_risk_max,target_failure_risk_std,target_failure_risk_count
2024-01-01 00:00:00,machine_1,59.04,59.04,59.04,,1,47.88,47.88,47.88,,1,100.62,100.62,100.62,,1,0.814,0.814,0.814,,1,140.6,140.6,140.6,,1,0.0,0.0,0.0,,1
2024-01-01 00:00:00,machine_2,67.27333333333333,60.22,70.97,6.110730998279448,3,38.10333333333333,29.03,48.11,9.574180556754365,3,101.27333333333333,100.81,101.57,0.40648903224236066,3,1.4703333333333333,1.023,1.978,0.480350219457984,3,139.23,134.54,144.78,5.173886353603066,3,0.19723333333333334,0.0,0.3886,0.1943664151373208,3
2024-01-01 00:00:00,machine_3,81.40166666666666,78.81,86.22,2.831476057936329,6,40.535,30.49,57.2,9.324258147434577,6,101.395,100.99,102.04,0.3801447092884502,6,0.8676666666666667,0.615,1.399,0.3137104822390649,6,170.3216666666667,153.81,187.47,13.456716414737539,6,0.42263333333333336,0.3711,0.491,0.04951160133409811,6
2024-01-01 00:00:00,machine_4,88.32,85.22,91.42,4.384062043356602,2,46.66,43.93,49.39,3.8608030252785475,2,102.36,101.77,102.95,0.8343860018001309,2,0.7370000000000001,0.559,0.915,0.25173001410241086,2,173.95499999999998,165.48,182.43,11.985459941112001,2,0.5927,0.5464,0.639,0.06547808793787431,2
2024-01-01 01:00:00,machine_1,51.666,49.19,56.77,3.0610178045872276,5,44.292,33.96,57.21,8.933581028904365,5,101.252,100.91,101.91,0.39066609783804135,5,1.2206,0.775,1.603,0.29631115402562896,5,114.204,89.73,152.24,25.94376668874434,5,0.03154,0.0,0.1577,0.07052558401034337,5
2024-01-01 01:00:00,machine_2,74.865,73.91,75.82,1.3505739520663034,2,47.915,44.03,51.8,5.494219689819471,2,101.16499999999999,100.63,101.7,0.7566042558696061,2,1.9085,1.314,2.503,0.840749962830805,2,143.25,131.48,155.02,16.64529362913134,2,0.18195,0.1211,0.2428,0.08605489527040282,2
2024-01-01 01:00:00,machine_4,86.6,65.11,94.75,12.390686018134751,5,46.12,23.45,59.68,13.672170639660695,5,100.934,100.55,101.22,0.2955164970014319,5,1.3742,0.408,1.852,0.6183900063875548,5,167.446,152.76,197.25,17.883061259191614,5,0.65962,0.3674,0.8869,0.21072166950743343,5
2024-01-01 02:00:00,machine_1,63.97,63.97,63.97,,1,28.01,28.01,28.01,,1,102.34,102.34,102.34,,1,0.203,0.203,0.203,,1,140.65,140.65,140.65,,1,0.2185,0.2185,0.2185,,1
2024-01-01 02:00:00,machine_2,74.82,74.82,74.82,,1,56.92,56.92,56.92,,1,100.31,100.31,100.31,,1,0.845,0.845,0.845,,1,134.47,134.47,134.47,,1,0.3107,0.3107,0.3107,,1
2024-01-01 02:00:00,machine_3,75.52,72.57,80.8,2.6466204865828415,7,39.40714285714286,21.76,57.29,12.552720441250592,7,101.40857142857143,100.76,102.31,0.5325857856229556,7,1.5614285714285714,0.68,2.24,0.6150525335673522,7,164.3814285714286,110.41,194.63,28.942936057336127,7,0.2833857142857143,0.1441,0.4034,0.08825152366147243,7
2024-01-01 02:00:00,machine_4,88.71999999999998,84.27,93.18,4.455008417500467,3,48.00333333333333,34.85,58.79,12.144205751441026,3,101.48333333333333,101.31,101.75,0.23437861108329308,3,1.047,0.938,1.18,0.1227721466783081,3,167.53,160.84,178.94,9.930322250561662,3,0.6148666666666667,0.474,0.7617,0.14394277798254884,3
