timestamp,sensor_id,machine_id,location,temperature,humidity,pressure,vibration,energy_consumption,machine_status,target_failure_risk,temperature_ma,humidity_med,temperature_savgol
2024-01-01 15:00:00,sensor_1,machine_1,South Yard,51.24,58.54,100.61,1.515,97.24,fault,0.0,51.24,58.54,47.69742857142854
2024-01-01 16:00:00,sensor_1,machine_1,North Bay,58.11,37.92,101.53,2.121,106.86,idle,0.0,54.675,48.230000000000004,62.430285714285695
2024-01-01 17:00:00,sensor_1,machine_1,West Plant,62.0,43.05,101.24,0.483,149.02,running,0.325,57.11666666666667,43.05,70.29457142857137
2024-01-01 21:00:00,sensor_1,machine_1,North Bay,86.67,41.22,101.02,1.64,125.14,running,0.0,64.505,42.135,73.8591428571428
2024-01-02 04:00:00,sensor_1,machine_1,South Yard,59.11,38.7,100.97,1.406,126.97,idle,0.0,63.426,41.22,67.28199999999993
2024-01-02 09:00:00,sensor_1,machine_1,East Plant,55.77,39.89,101.25,1.345,121.69,idle,0.0,64.33200000000001,39.89,54.72857142857137
2024-01-02 10:00:00,sensor_1,machine_1,North Bay,57.76,45.91,100.27,1.114,141.93,maintenance,0.0,64.262,41.22,57.29885714285709
2024-01-02 18:00:00,sensor_1,machine_1,South Yard,58.34,53.73,100.76,0.057,125.15,running,0.0,63.529999999999994,41.22,57.59942857142852
2024-01-02 23:00:00,sensor_1,machine_1,South Yard,56.15,51.91,102.32,0.933,117.15,idle,0.0,57.426,45.91,58.06057142857138
2024-01-03 00:00:00,sensor_1,machine_1,North Bay,58.47,38.18,101.22,1.989,117.1,idle,0.0587,57.298,45.91,54.31457142857137
2024-01-03 02:00:00,sensor_1,machine_1,South Yard,50.29,45.97,100.03,0.801,101.94,maintenance,0.0539,56.202,45.97,56.21885714285708
2024-01-03 13:00:00,sensor_1,machine_1,South Yard,65.08,42.77,100.11,0.03,145.22,idle,0.2574,57.66600000000001,45.97,61.47485714285709
2024-01-03 22:00:00,sensor_1,machine_1,East Plant,67.14,42.73,101.62,1.442,106.11,running,0.0,59.426,42.77,66.56485714285708
2024-01-04 05:00:00,sensor_1,machine_1,South Yard,62.83,40.81,99.57,0.977,139.62,idle,0.0,60.762,42.73,65.31999999999994
2024-01-04 12:00:00,sensor_1,machine_1,South Yard,65.22,47.5,102.22,1.513,95.21,fault,0.2402,62.112,42.77,62.0151428571428
2024-01-04 19:00:00,sensor_1,machine_1,South Yard,58.33,50.53,101.52,1.818,145.83,maintenance,0.0,63.71999999999999,42.77,62.94228571428565
2024-01-04 20:00:00,sensor_1,machine_1,South Yard,63.57,41.72,101.37,0.245,132.25,running,0.2094,63.41799999999999,42.73,56.515714285714225
2024-01-05 01:00:00,sensor_1,machine_1,West Plant,48.54,33.13,100.04,1.402,109.64,idle,0.0,59.698,41.72,57.139714285714234
2024-01-05 07:00:00,sensor_1,machine_1,North Bay,63.14,42.06,100.65,1.655,139.72,maintenance,0.0814,59.760000000000005,42.06,55.914285714285654
2024-01-05 11:00:00,sensor_1,machine_1,West Plant,56.94,47.0,99.9,1.444,109.99,maintenance,0.1947,58.104,42.06,61.65599999999994
2024-01-05 12:00:00,sensor_1,machine_1,South Yard,63.81,41.21,101.12,2.17,99.64,fault,0.0,59.2,41.72,61.9851428571428
2024-01-05 14:00:00,sensor_1,machine_1,East Plant,62.6,28.13,101.58,2.532,116.5,running,0.0,59.00599999999999,41.21,60.7931428571428
2024-01-05 15:00:00,sensor_1,machine_1,South Yard,53.45,49.85,102.48,1.655,136.66,running,0.0,59.988,42.06,56.60257142857137
2024-01-05 19:00:00,sensor_1,machine_1,West Plant,57.58,41.77,100.73,1.173,73.28,idle,0.0614,58.876,41.77,56.84799999999994
2024-01-05 20:00:00,sensor_1,machine_1,West Plant,59.43,30.42,102.85,0.635,92.8,idle,0.0,59.374,41.21,56.27485714285709
2024-01-06 01:00:00,sensor_1,machine_1,North Bay,51.98,45.36,101.6,2.121,146.2,fault,0.0,57.008,41.77,56.32828571428565
2024-01-06 02:00:00,sensor_1,machine_1,East Plant,65.02,50.12,101.15,0.84,104.38,idle,0.0,57.492,45.36,64.97542857142851
2024-01-06 09:00:00,sensor_1,machine_1,East Plant,77.61,40.22,100.09,1.178,108.49,running,0.0,62.324,41.77,73.96971428571422
